scheme,nspervalue
poly-64,15.972062105620491
poly-64,15.993306830586546
poly-64,16.02167644572539
poly-64,15.978784412524293
poly-64,15.973486148459756
poly-64,15.985585295801274
poly-64,15.993162075001996
poly-64,15.942736860672541
poly-64,16.008898682739158
poly-64,15.992681880508002
poly-64,3.7298001810484833
poly-64,3.77783127878804
poly-64,3.723006186932559
poly-64,3.7390472489949143
poly-64,3.7547676488990653
poly-64,3.7391478740115556
poly-64,3.7389972443355792
poly-64,3.7359609381240184
poly-64,3.7428003607657283
poly-64,3.738374740408424
sip,4.358531327378258
sip,4.376261981149658
sip,4.364711919912671
sip,4.3653922162464385
sip,4.3806646376367855
sip,4.387904863015522
sip,4.387123775260258
sip,4.372345243483585
sip,4.363229868340478
sip,4.356833648393194
